model,domain,n_valid,pass1,mean_cost_usd,aubc,aubc_lo,aubc_hi,b_at_50,b_at_80
deepseek-v4-flash,airline,150,0.8,0.010109,0.5156,0.4732,0.5575,0.009984219001236848,0.031031872030651313
deepseek-v4-flash,retail,342,0.8216,0.010543,0.5354,0.5089,0.5619,0.01152075779543097,0.02104886765047517
deepseek-v4-flash,telecom,342,0.9942,0.022311,0.5738,0.5644,0.5834,0.020661087049627293,0.031118311696911656
deepseek-v4-pro,airline,50,0.82,0.030319,0.3934,0.3383,0.4435,0.027156107520210113,0.06909565090767908
deepseek-v4-pro,retail,114,0.8596,0.030135,0.4081,0.3762,0.438,0.031143307690742934,0.04607875492525094
deepseek-v4-pro,telecom,114,0.9474,0.06423,0.3751,0.3523,0.3961,0.06279481496910859,0.08920263108254942
qwen3-235b-instruct,airline,50,0.44,0.024826,0.2415,0.1661,0.3198,,
qwen3-235b-instruct,retail,114,0.6842,0.026001,0.357,0.3115,0.4027,0.025220462393702875,
qwen3-235b-instruct,telecom,114,0.5088,0.05082,0.2356,0.1912,0.28,0.07484292026361843,
qwen3-235b-thinking,airline,50,0.64,0.052221,0.2666,0.2067,0.3221,0.05470851344744581,
qwen3-235b-thinking,retail,114,0.7368,0.045524,0.3089,0.2726,0.3449,0.04748846373190203,
qwen3-235b-thinking,telecom,114,0.6491,0.086618,0.2401,0.2053,0.2756,0.1063174628144141,
qwen3-32b,airline,50,0.1,0.025186,0.0559,0.0119,0.1057,,
qwen3-32b,retail,114,0.5614,0.031233,0.2823,0.2348,0.3286,0.0373154809784824,
qwen3-32b,telecom,114,0.2632,0.041565,0.1258,0.0888,0.1652,,
qwen3.5-122b-a10b,airline,50,0.82,0.016758,0.4706,0.4056,0.5295,0.014898257179301684,0.03546079205239752
qwen3.5-122b-a10b,retail,114,0.807,0.014207,0.4875,0.443,0.5319,0.015572376378356857,0.031143307690742934
qwen3.5-122b-a10b,telecom,114,0.9912,0.021154,0.5807,0.5627,0.5969,0.01948696421387859,0.02934992844168748
qwen3.5-27b,airline,50,0.86,0.011315,0.5454,0.4765,0.6067,0.009984219001236848,0.017024561046672604
qwen3.5-27b,retail,114,0.9035,0.010913,0.5888,0.5507,0.6236,0.010524922164540958,0.018104720085972595
qwen3.5-27b,telecom,114,0.9912,0.015971,0.6286,0.6099,0.6448,0.01542084841467437,0.021274416501535415
qwen3.5-35b-a3b,airline,50,0.58,0.006942,0.4103,0.3131,0.5047,0.008450619129176985,
qwen3.5-35b-a3b,retail,114,0.7982,0.007039,0.583,0.5259,0.64,0.007113492756545746,
qwen3.5-35b-a3b,telecom,114,1.0,0.010361,0.7048,0.6911,0.7183,0.01023871393081762,0.01332250274611503
qwen3.5-397b-a17b,airline,50,0.82,0.024366,0.424,0.3611,0.476,0.020796325546240942,0.043317074292106066
qwen3.5-397b-a17b,retail,114,0.8246,0.020842,0.4518,0.4132,0.4898,0.021692825460208585,0.03845709086453774
qwen3.5-397b-a17b,telecom,114,1.0,0.029131,0.5261,0.5144,0.5382,0.02934992844168748,0.0370888157281156
qwen3.6-flash,airline,50,0.8,0.023831,0.4113,0.3491,0.4678,0.021501646687354478,0.0447862015281399
qwen3.6-flash,retail,114,0.8246,0.020198,0.4538,0.4154,0.4925,0.020424025914923854,0.031143307690742934
qwen3.6-flash,telecom,114,1.0,0.029826,0.5221,0.5101,0.5343,0.02934992844168748,0.0370888157281156
qwen3.7-max,airline,50,0.82,0.199255,0.1599,0.1333,0.1872,0.2008974209270328,0.37860951831830825
qwen3.7-max,retail,114,0.7456,0.175282,0.1435,0.1252,0.1623,0.18429791626236622,
qwen3.7-max,telecom,114,0.9737,0.26277,0.1432,0.1314,0.1555,0.26329571545156477,0.33272061605830583
qwen3.7-plus,airline,150,0.8467,0.034896,0.3853,0.3558,0.4128,0.03317250007273399,0.06251660283141969
qwen3.7-plus,retail,342,0.7924,0.030858,0.3805,0.3596,0.4024,0.031143307690742934,
qwen3.7-plus,telecom,340,0.9853,0.043974,0.4468,0.4377,0.4548,0.041692786902406194,0.05586062947823649
